StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q34,Q6,Q12,Q13,Q14,Q16,Q39_1,Q39_2,Q39_3,Q39_4,Q33,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_18_TEXT,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_9_TEXT,Q25,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9,Q35_10,Q35_11,Q35_12,Q35_13,Q35_13_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_5_TEXT,Q27,Q28,Q28_5_TEXT,Q29,Q30,Q31,Q31_5_TEXT,Q44,Q25,Q26,Q38,Q33,Q35,Q34,Q34_5_TEXT,Q25 - Parent Topics,Q25 - Topics,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Q25 - Topic Hierarchy Level 1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent to participate in this survey?,I understand that I may withdraw my data and myself and discontinue participation at any time without any consequences. I understand that I can only withdraw my data from the research before any findings have been published and/or are included in the thesis deliverable.,I understand that the researcher will share the data collected with 510 – an initiative developed by the Dutch Red Cross.,Are you Ukrainian?,Did you leave Ukraine because of the war?,"When did you approximately leave Ukraine?

Write month, year","In which city are you living now?

Please, write you answer without caps",Are you planning to stay where you in [QID13-ChoiceTextEntryValue]?,What is you highest level of education attainment?,How many languages do you speak? - Ukrainian,How many languages do you speak? - Russian,How many languages do you speak? - English,How many languages do you speak? - [QID13-ChoiceTextEntryValue] 's spoken language,Add other languages:,"What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - General information about the journey? (for example, what trains should I take?)","What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Communication with your family, friends, network (e.g., how can I keep in contact with my family?)","What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Information about bank issues (e.g., where should I pay taxes? How can I open a bank account?)","What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Information about social programs (for example, where can I apply for cash assistance?)",What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Information about transportation (How can I get to [QID13-ChoiceTextEntryValue]?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Legal advice (How can I register at the municipality? How can I get my government registration number?),"What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Accommodation/Shelter support (e.g., where can I stay?)",What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Health information (where can I get treated?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Psychological help,What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Humanitarian aid (from cash support to services),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - News related to the war,What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Education (in which school can I register my kids?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Pets (Can I take my pet with me?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Clothing (Where can I find clothes?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Food (Where can I find food?),What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Information about the Red Cross Services,"What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Information related to work (e.g., how can I apply for a job in [QID13-ChoiceTextEntryValue]?)",What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other:,What type of information did you look up throughout your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other: - Text,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Family,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Friends,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - International Organizations and NGOs,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Internet research,"What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Facebook, Instagram and other social media platforms",What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Whatsapp and other messaging apps,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - United Nations' information,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Red Cross information,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other:,What type of information source did you consult through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other: - Text,"Could you mention a couple of information sources you looked at the most through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Write down group chat names, and websites...",What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Internet search,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Websites of organizations,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Websites of local authorities,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Website of the goverment,"What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Written information (e.g., flyers)",What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - TV,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Radio,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Social media,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Staff from organizations,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - SMS/calls,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Friends/family/acquaintances,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Public/governmental information,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other:,What information channel did you trust through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there? - Other: - Text,"What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Twitter","What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Instagram","What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Facebook","What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Telegram","What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Other:","What social media channel did you trust the most as information source through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?

Drag your answers. Answers at the top will mean that you trusted them the most. - Other: - Text",Did you trust the information that you received from organizations through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?,"Through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there, was the information provided by organizations and institutions:

Tick as many as wanted - Selected Choice","Through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there, was the information provided by organizations and institutions:

Tick as many as wanted - Other: - Text","Why so?

Could you explain in your own words why you thought it was [QID40-ChoiceGroup-SelectedChoices]","If you had a look at information provided by the Red Cross, would you say you trusted it through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?","Was the information provided by the Red Cross:

Tick as many as wanted - Selected Choice","Was the information provided by the Red Cross:

Tick as many as wanted - Other: - Text","Why so?

Could you explain in your own words why you thought it was [QID43-ChoiceGroup-SelectedChoices]",Did you trust some information channels over the others because of personal value and belief alignment?,"What sources did you trust because of personal value and belief alignement?

Give some group chat, and/or website names.",Did you find all information necessary through your time traveling to [QID13-ChoiceTextEntryValue] and once arrived there?,"How do you think institutional and organizational communication could be improved for future forced migrants?

Please, explain in your own words",Please give a brief example of a communication challenge you have faced in the past and suggest a practical solution that would help you.,What type of information display do you prefer when looking for information online? - Selected Choice,What type of information display do you prefer when looking for information online? - Other: - Text,Q25 - Parent Topics,Q25 - Topics,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Q25 - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID59""}","{""ImportId"":""QID6""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID49_11""}","{""ImportId"":""QID49_12""}","{""ImportId"":""QID49_13""}","{""ImportId"":""QID49_14""}","{""ImportId"":""QID49_15""}","{""ImportId"":""QID49_16""}","{""ImportId"":""QID49_17""}","{""ImportId"":""QID49_18""}","{""ImportId"":""QID49_18_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID48_8""}","{""ImportId"":""QID48_9""}","{""ImportId"":""QID48_9_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID47_7""}","{""ImportId"":""QID47_8""}","{""ImportId"":""QID47_9""}","{""ImportId"":""QID47_10""}","{""ImportId"":""QID47_11""}","{""ImportId"":""QID47_12""}","{""ImportId"":""QID47_13""}","{""ImportId"":""QID47_13_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_5_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_5_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_5_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_5_TEXT""}","{""ImportId"":""QID34_TEXT_b8131f60_5mdi9wev61x7ParTopics""}","{""ImportId"":""QID34_TEXT_b8131f60_5mdi9wev61x7Topics""}","{""ImportId"":""Q_AmbiguousTextPresent""}","{""ImportId"":""Q_AmbiguousTextQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}","{""ImportId"":""QID34_TEXT_b8131f60_5mdi9wev61x7TopicHierarchy1""}"
2023-04-14 08:38:35,2023-04-14 09:02:20,IP Address,100,1425,True,2023-04-14 09:02:22,R_1hRbV8zSAkRthkq,anonymous,UK,Yes,Yes,Yes,,Yes,05 Березня 2022,"Hurghada, Egypt",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,,,Never,Most of the time,Most of the time,Never,Sometimes,Most of the time,Never,Most of the time,Never,Most of the time,Most of the time,Never,Most of the time,Never,Never,Never,Most of the time,Never,,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Never,,"https://www.pravda.com.ua/rus/, https://bbc.com/,https://www.understandingwar.org/",Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,2,4,3,1,5,,Sometimes,,,,,,,,Might or might not,"https://www.pravda.com.ua/rus/, https://www.understandingwar.org/, https://www.bbc.com/",I found little information,,,Text,,,Unknown,0,,0,0,,0.047619047619047616,QID45,
2023-04-15 05:20:35,2023-04-15 05:35:34,IP Address,100,899,True,2023-04-15 05:35:35,R_2Bktdkjn4OQorG9,anonymous,UK,Yes,Yes,Yes,Yes,Yes,22.03.2023,madrid,Definitely yes,Master or equivalent level,Fluent,Fluent,Intermediate,Basic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,-,Never,Never,Never,Never,Never,Never,Never,Never,,-,"ФБ - Українці в Мадриді, Українці в Іспанії",Fully trusted it,Fully trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,I did not trust it,Fully trusted it,Fully trusted it,I did not trust it,-,4,1,2,3,5,,Not Applicable: I did not have a look at the information provided by organizations,Credible,,,,,,бо не мала жодної інформації про ЧХ,Definitely not,"дакржавним, урядовим",I found a part fo the necessary information for my migration journey,Посольство повинно давати всю інформацію,,Text,,,Unknown,0,,0,0,,0.07407407407407407,"QID41,QID58",
2023-04-15 07:14:22,2023-04-15 07:21:44,IP Address,100,442,True,2023-04-15 07:21:45,R_0UtjWXY1KuzkHsZ,anonymous,UK,Yes,Yes,Yes,Yes,Yes,25.02.2022,"Лодзь, Польща",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,Basic,,Sometimes,Sometimes,Most of the time,Sometimes,Never,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Never,Never,Never,Sometimes,,Most of the time,Never,,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"Новини в Telegram ",I did not trust it,Fully trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,3,1,4,2,5,,Yes,Credible,,"Мене до Лодзя везла особа, яка тут проживає, й яка весь час слідкувала за новинами",Yes,,,"Довіряю цій організації, оскільки вона дійсно допомагає людям ",Definitely yes,"Сайтам державних установ ",I found a part fo the necessary information for my migration journey,"Створити телеграм-канал для них ",,"Infographics,Videos,Text",,,Unknown,0,,0,0,,0,,
2023-04-15 08:55:46,2023-04-15 09:06:07,IP Address,100,621,True,2023-04-15 09:06:08,R_1QbjKAqr7NzXIVE,anonymous,EN,Yes,Yes,Yes,Yes,Yes,4.03.22,Paris,Probably yes,Bachelor or equivalent level,Fluent,Fluent,Fluent,Basic,,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Never,Never,Never,Never,Most of the time,Most of the time,Never,Sometimes,Never,Sometimes,Sometimes,Most of the time,,,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Never,Sometimes,,,Telegram channels where Ukrainians in different countries share information on how they left,Somehow trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,I did not trust it,I did not trust it,Fully trusted it,Somehow trusted it,I did not trust it,Fully trusted it,Somehow trusted it,,,4,1,3,2,5,,Yes,"Reliable,Credible,Accurate,Transparent",,,Yes,"Reliable,Credible,Accurate,Transparent,Other:","It wasn’t much tho. It wasn’t clear what next steps to take, how to get metro card or where to do the documents. It was also unclear where to find Red Cross in case I need them, I came back to see them at Gare du Nord and the member from Red Cross (American guy) told me “well metro is ONLY 1.90 you just pay for it like me”,  and just to make things clear I pay for it since then and never got the discounted navigo card, but that guy was very insensitive. And when I came to another Red Cross “office” they told me “oh well why did you pick paris then”. Very aggressive and not really helpful",,Definitely yes,"Links that my friends posted about volunteer organisations in different countries ",I found a part fo the necessary information for my migration journey,"I don’t know ",,"Infographics,Text",,,Unknown,0,,0,0,,0.07692307692307693,"QID41,QID56",
2023-04-15 12:04:05,2023-04-15 12:14:57,IP Address,100,651,True,2023-04-15 12:14:57,R_31NpKJecfw9VmIY,anonymous,UK,Yes,Yes,Yes,Yes,Yes,14.04.2022,Не хочу повідомляти,Probably yes,Master or equivalent level,Fluent,Fluent,Intermediate,Intermediate,,Never,Most of the time,Never,Sometimes,Never,Never,Never,Never,Never,Never,Most of the time,Most of the time,Never,Never,Never,Never,Never,Never,,Most of the time,Never,Never,Never,Sometimes,Never,Never,Never,Never,,Не хочу повідомляти,I did not trust it,I did not trust it,I did not trust it,Fully trusted it,I did not trust it,I did not trust it,I did not trust it,I did not trust it,I did not trust it,I did not trust it,Fully trusted it,Somehow trusted it,I did not trust it,,2,1,3,4,5,Ніякому,No,Other:,Не звертались,"Це моя справа, вона нікого не стосується",No,Other:,"Червоний хрест вивозив наших дітей в росію, як можна було їм довіряти","Тому що Червоний Хрест працює в Російській Федерації, тому я не довіряю цій організаціі",Definitely yes,Своїй родині,I found all information necessary for my migration journey,"Припинити агресію Росії проти України, тоді ми зможемо повернутись додому, і ніякої іншої допомоги не буде потрібно",,Other:,Ніякій,,Unknown,0,,0,0,,0,,
2023-04-15 12:05:14,2023-04-15 12:17:32,IP Address,100,738,True,2023-04-15 12:17:33,R_1IxQ7e9OVfo9kJL,anonymous,UK,Yes,Yes,Yes,Yes,Yes,24 липня,Альміре,Probably yes,Bachelor or equivalent level,Fluent,Intermediate,Intermediate,,,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,,,Most of the time,Sometimes,Never,Never,Sometimes,Never,Never,Never,,"Телеграм ",Телеграм,Somehow trusted it,Fully trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,I did not trust it,I did not trust it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,,,3,4,2,1,5,,Yes,Reliable,,,,,,,Definitely yes,,I found all information necessary for my migration journey,,,Text,,,Unknown,0,,0,0,,0.15384615384615385,"QID38,QID41,QID45,QID56",
2023-04-15 14:39:50,2023-04-15 14:48:22,IP Address,100,511,True,2023-04-15 14:48:22,R_WlpXngU0dBGnbQR,anonymous,UK,Yes,Yes,Yes,Yes,Yes,Березень 2022,Варшава,Probably not,Master or equivalent level,Fluent,Fluent,Fluent,Basic,,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,,Sometimes,Sometimes,Most of the time,,,Most of the time,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,,-,Somehow trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,4,3,2,1,5,,Yes,Transparent,,,,,,,Might or might not,,I found a part fo the necessary information for my migration journey,,,Text,,,Unknown,0,,0,0,,0.15384615384615385,"QID38,QID41,QID45,QID56",
2023-04-16 23:32:41,2023-04-16 23:43:33,IP Address,100,651,True,2023-04-16 23:43:34,R_3fdfXmCkQ9Rvb9x,anonymous,UK,Yes,Yes,Yes,Yes,Yes,09 Septrmber 2022,"Vancouver ",Probably yes,Master or equivalent level,Fluent,,Fluent,,,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Never,Never,Sometimes,Most of the time,Most of the time,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,,Sometimes,Never,Never,,Most of the time,Sometimes,Never,Sometimes,Never,,"Facebook ",Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,I did not trust it,I did not trust it,I did not trust it,Somehow trusted it,I did not trust it,Somehow trusted it,Fully trusted it,Fully trusted it,I did not trust it,,2,3,1,4,5,,Sometimes,Accurate,,,,,,,Definitely yes,"Facebook ",I found a part fo the necessary information for my migration journey,,,Text,,,Unknown,0,,0,0,,0.11538461538461539,"QID41,QID45,QID56",
